Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
25,Tuesday Apr 22,boxscore,CHC,,LAD,W-wo,11,10,10,15-10,1,up 1.5,Hodge,Davis,,3:21,N,36425,1.18,+,
26,Wednesday Apr 23,boxscore,CHC,,LAD,W,7,6,,16-10,1,up 2.5,Boyd,Dreyer,Hodge,2:40,N,37150,1.19,++,
27,Friday Apr 25,boxscore,CHC,,PHI,W,4,0,,17-10,1,up 3.5,Rea,Walker,,2:54,D,32880,1.22,+++,
28,Saturday Apr 26,boxscore,CHC,,PHI,L,4,10,,17-11,1,up 2.5,Luzardo,Brown,,2:58,D,40068,1.25,-,
29,Sunday Apr 27,boxscore,CHC,,PHI,L,1,3,10,17-12,1,up 1.5,Alvarado,Merryweather,Romano,2:45,N,35761,1.18,--,
30,Tuesday Apr 29,boxscore,CHC,@,PIT,W,9,0,,18-12,1,up 1.5,Imanaga,Heaney,,2:44,N,9434,1.17,+,
31,Wednesday Apr 30,boxscore,CHC,@,PIT,L,3,4,,18-13,1,up 2.0,Ferguson,Thielbar,Bednar,2:38,N,11297,1.24,-,
32,Thursday May 1,boxscore,CHC,@,PIT,W,8,3,,19-13,1,up 2.0,Rea,Skenes,,2:32,D,13633,1.19,+,
33,Friday May 2,boxscore,CHC,@,MIL,W,10,0,,20-13,1,up 2.0,Brown,Alexander,Flexen,2:34,N,34559,1.30,++,
34,Saturday May 3,boxscore,CHC,@,MIL,W,6,2,,21-13,1,up 3.0,Taillon,Quintana,,2:17,N,37335,1.29,+++,
35,Sunday May 4,boxscore,CHC,@,MIL,L,0,4,,21-14,1,up 3.0,Peralta,Imanaga,,2:28,D,37360,1.32,-,
36,Monday May 5,boxscore,CHC,,SFG,W,9,2,,22-14,1,up 4.0,Boyd,Roupp,,2:23,N,36834,1.28,+,
37,Tuesday May 6,boxscore,CHC,,SFG,L,5,14,11,22-15,1,up 3.0,Miller,Pressly,,3:25,N,37303,1.27,-,
38,Wednesday May 7,boxscore,CHC,,SFG,L,1,3,,22-16,1,up 3.0,Ray,Brown,Walker,2:40,D,31889,1.26,--,
39,Friday May 9,boxscore,CHC,@,NYM,L,2,7,,22-17,1,up 2.0,Holmes,Taillon,,2:49,N,41243,1.25,---,
40,Saturday May 10,boxscore,CHC,@,NYM,W,6,5,,23-17,1,up 2.0,Horton,Megill,Hodge,2:56,N,41423,1.25,+,
41,Sunday May 11,boxscore,CHC,@,NYM,L,2,6,,23-18,1,up 1.0,Stanek,Hodge,,2:40,D,41673,1.28,-,
42,Monday May 12,boxscore,CHC,,MIA,W,5,2,,24-18,1,up 1.0,Rea,Quantrill,Pomeranz,2:36,N,32271,1.18,+,
43,Tuesday May 13,boxscore,CHC,,MIA,W-wo,5,4,,25-18,1,up 1.5,Flexen,Tinoco,,2:42,N,38083,1.13,++,
44,Wednesday May 14,boxscore,CHC,,MIA,L,1,3,,25-19,1,up 1.0,Weathers,Taillon,Tinoco,2:11,N,34167,1.19,-,
45,Friday May 16,boxscore,CHC,,CHW,W,13,3,,26-19,1,up 1.0,Horton,Smith,,2:52,D,40171,1.16,+,
46,Saturday May 17,boxscore,CHC,,CHW,W,7,3,,27-19,1,up 1.0,Boyd,Burke,,2:51,D,40134,1.16,++,
47,Sunday May 18,boxscore,CHC,,CHW,W,6,2,,28-19,1,up 2.0,Pomeranz,Cannon,,2:38,D,40152,1.22,+++,
48,Monday May 19,boxscore,CHC,@,MIA,L-wo,7,8,,28-20,1,up 1.0,Bellozo,Palencia,,2:52,N,9935,1.25,-,
49,Tuesday May 20,boxscore,CHC,@,MIA,W,14,1,,29-20,1,up 2.0,Taillon,Faucher,,2:31,N,9567,1.24,+,
50,Wednesday May 21,boxscore,CHC,@,MIA,W,2,1,,30-20,1,up 3.0,Keller,Bender,Palencia,2:36,D,7482,1.28,++,
51,Friday May 23,boxscore,CHC,@,CIN,W,13,6,,31-20,1,up 3.0,Flexen,Santillan,,3:26,N,30120,1.42,+++,
52,Saturday May 24,boxscore,CHC,@,CIN,L,4,6,,31-21,1,up 2.0,Abbott,Rea,Pagán,2:49,D,40409,,-,
53,Sunday May 25,boxscore,CHC,@,CIN,W,11,8,,32-21,1,up 2.0,Pomeranz,Rogers,Palencia,3:06,D,32822,1.41,+,
54,Monday May 26,boxscore,CHC,,COL,W,3,1,,33-21,1,up 3.0,Taillon,Palmquist,Palencia,2:26,D,40171,1.26,++,
55,Tuesday May 27,boxscore,CHC,,COL,W-wo,4,3,11,34-21,1,up 3.0,Flexen,Kinley,,3:00,N,33099,1.24,+++,
56,Wednesday May 28,boxscore,CHC,,COL,W,2,1,,35-21,1,up 3.0,Boyd,Gordon,Palencia,2:20,N,33748,1.27,++++,
57,Friday May 30,boxscore,CHC,,CIN,L,2,6,,35-22,1,up 3.0,Abbott,Rea,Pagán,2:24,D,36019,1.34,-,
58,Saturday May 31,boxscore,CHC,,CIN,W,2,0,,36-22,1,up 3.0,Keller,Ashcraft,Palencia,2:18,D,39144,1.40,+,
59,Sunday Jun 1,boxscore,CHC,,CIN,W,7,3,,37-22,1,up 4.0,Taillon,Martinez,,2:40,D,40179,1.39,++,
60,Tuesday Jun 3,boxscore,CHC,@,WSN,W,8,3,,38-22,1,up 5.0,Horton,Williams,,2:35,N,27702,1.31,+++,
61,Wednesday Jun 4,boxscore,CHC,@,WSN,L,0,2,,38-23,1,up 4.5,Gore,Boyd,Finnegan,2:11,N,21965,1.29,-,
62,Thursday Jun 5,boxscore,CHC,@,WSN,W,7,1,,39-23,1,up 5.0,Rea,Irvin,,2:46,N,30402,1.31,+,
63,Friday Jun 6,boxscore,CHC,@,DET,L,1,3,,39-24,1,up 4.0,Skubal,Brown,Vest,2:13,N,40132,1.22,-,
64,Saturday Jun 7,boxscore,CHC,@,DET,W,6,1,,40-24,1,up 4.0,Taillon,Holton,,2:14,D,41034,1.29,+,
65,Sunday Jun 8,boxscore,CHC,@,DET,L,0,4,,40-25,1,up 4.0,Flaherty,Horton,,2:17,D,40343,1.27,-,
66,Monday Jun 9,boxscore,CHC,@,PHI,L-wo,3,4,11,40-26,1,up 4.0,Hernández,Palencia,,3:05,N,41226,1.39,--,
67,Tuesday Jun 10,boxscore,CHC,@,PHI,W,8,4,,41-26,1,up 5.0,Thielbar,Walker,,3:01,N,41220,1.42,+,
68,Wednesday Jun 11,boxscore,CHC,@,PHI,L,2,7,,41-27,1,up 5.0,Luzardo,Brown,,2:33,D,42660,1.36,-,
69,Thursday Jun 12,boxscore,CHC,,PIT,W,3,2,,42-27,1,up 5.5,Taillon,Heaney,Pressly,2:07,N,40174,1.30,+,
70,Friday Jun 13,boxscore,CHC,,PIT,L,1,2,10,42-28,1,up 4.5,Santana,Pomeranz,Bednar,2:51,D,39457,1.28,-,
71,Saturday Jun 14,boxscore,CHC,,PIT,W,2,1,,43-28,1,up 5.5,Boyd,Borucki,Palencia,2:10,D,39554,1.33,+,
72,Sunday Jun 15,boxscore,CHC,,PIT,W-wo,3,2,10,44-28,1,up 5.5,Flexen,Bednar,,2:31,D,40162,1.33,++,
73,Tuesday Jun 17,boxscore,CHC,,MIL,W,5,3,,45-28,1,up 6.5,Brown,Patrick,Palencia,2:26,N,38687,1.45,+++,
74,Thursday Jun 19,boxscore,CHC,,MIL,L,7,8,,45-29,1,up 5.5,Peralta,Taillon,Megill,2:50,D,41078,1.41,-,
75,Friday Jun 20,boxscore,CHC,,SEA,L,4,9,,45-30,1,up 4.5,Bazardo,Thielbar,,2:52,D,40787,1.29,--,
76,Saturday Jun 21,boxscore,CHC,,SEA,W,10,7,,46-30,1,up 4.5,Keller,Hancock,,3:09,D,39047,1.36,+,
77,Sunday Jun 22,boxscore,CHC,,SEA,L,6,14,,46-31,1,up 3.5,Gilbert,Rea,,2:55,D,36185,1.31,-,
78,Monday Jun 23,boxscore,CHC,@,STL,L,2,8,,46-32,1,up 3.5,Liberatore,Brown,,2:10,N,27058,1.54,--,
79,Tuesday Jun 24,boxscore,CHC,@,STL,L,7,8,,46-33,1,up 2.5,Matz,Taillon,Helsley,2:31,N,29545,1.63,---,
80,Wednesday Jun 25,boxscore,CHC,@,STL,W,8,0,,47-33,1,up 2.5,Boyd,Fedde,,2:24,N,30399,1.61,+,
81,Thursday Jun 26,boxscore,CHC,@,STL,W,3,0,,48-33,1,up 3.0,Imanaga,Pallante,Palencia,2:48,D,32793,1.59,++,
82,Friday Jun 27,boxscore,CHC,@,HOU,L,4,7,,48-34,1,up 2.0,Walter,Horton,Hader,2:31,N,39451,1.39,-,
83,Saturday Jun 28,boxscore,CHC,@,HOU,W,12,3,,49-34,1,up 2.0,Rea,McCullers,,2:49,N,39218,1.43,+,
84,Sunday Jun 29,boxscore,CHC,@,HOU,L,0,2,,49-35,1,up 2.0,Valdez,Taillon,Hader,2:27,D,37319,1.42,-,
85,Tuesday Jul 1,boxscore,CHC,,CLE,W,5,2,,50-35,1,up 2.5,Boyd,Williams,Palencia,2:26,N,38257,1.41,+,
86,Wednesday Jul 2,boxscore,CHC,,CLE,W,5,4,,51-35,1,up 3.0,Imanaga,Bibee,Palencia,2:57,N,35250,1.39,++,
87,Thursday Jul 3,boxscore,CHC,,CLE,W-wo,1,0,10,52-35,1,up 4.0,Flexen,Clase,,2:44,N,38450,1.36,+++,
88,Friday Jul 4,boxscore,CHC,,STL,W,11,3,,53-35,1,up 4.0,Rea,Mikolas,,2:23,D,40038,1.53,++++,
89,Saturday Jul 5,boxscore,CHC,,STL,L,6,8,,53-36,1,up 4.0,Matz,Keller,Helsley,2:52,D,40119,1.50,-,
90,Sunday Jul 6,boxscore,CHC,,STL,W,11,0,,54-36,1,up 4.0,Boyd,Fedde,,3:10,N,40319,1.56,+,
91,Tuesday Jul 8,boxscore,CHC,@,MIN,L,1,8,,54-37,1,up 2.5,Woods Richardson,Imanaga,,2:22,N,30384,1.32,-,
92,Wednesday Jul 9,boxscore,CHC,@,MIN,L,2,4,,54-38,1,up 1.5,Festa,Horton,Durán,2:20,N,33470,1.40,--,
93,Thursday Jul 10,boxscore,CHC,@,MIN,W,8,1,,55-38,1,up 2.0,Rea,Paddack,,2:23,D,34391,1.39,+,
94,Friday Jul 11,boxscore,CHC,@,NYY,L,0,11,,55-39,1,up 1.0,Rodón,Flexen,,2:31,N,46327,1.41,-,
95,Saturday Jul 12,boxscore,CHC,@,NYY,W,5,2,,56-39,1,up 1.0,Boyd,Fried,Palencia,2:32,D,46839,1.40,+,
96,Sunday Jul 13,boxscore,CHC,@,NYY,W,4,1,,57-39,1,up 1.0,Imanaga,Warren,Palencia,2:33,D,45435,1.37,++,
97,Friday Jul 18,boxscore,CHC,,BOS,W,4,1,,58-39,1,up 1.0,Rea,Giolito,Palencia,2:35,D,41011,1.35,+++,
98,Saturday Jul 19,boxscore,CHC,,BOS,W,6,0,,59-39,1,up 1.0,Imanaga,Bello,,2:27,N,40703,1.31,++++,
99,Sunday Jul 20,boxscore,CHC,,BOS,L,1,6,,59-40,1,Tied,Crochet,Pressly,,2:37,D,40433,1.23,-,
100,Monday Jul 21,boxscore,CHC,,KCR,L,4,12,,59-41,2,1.0,Cameron,Brown,,2:35,N,38117,1.20,--,
101,Tuesday Jul 22,boxscore,CHC,,KCR,W,6,0,,60-41,1,Tied,Boyd,Hill,,2:28,N,40092,1.30,+,
102,Wednesday Jul 23,boxscore,CHC,,KCR,L,4,8,,60-42,2,1.0,Lugo,Rea,,2:30,D,38624,1.30,-,
103,Friday Jul 25,boxscore,CHC,@,CHW,L,5,12,,60-43,2,1.0,Houser,Imanaga,,2:52,N,38762,1.33,--,
104,Saturday Jul 26,boxscore,CHC,@,CHW,W,6,1,,61-43,1,Tied,Horton,Leasure,,2:35,N,38432,1.32,+,
105,Sunday Jul 27,boxscore,CHC,@,CHW,W,5,4,,62-43,1,Tied,Brown,Taylor,Palencia,2:48,D,38036,1.30,++,
106,Monday Jul 28,boxscore,CHC,@,MIL,L,4,8,,62-44,2,1.0,Mears,Boyd,Megill,2:35,N,41076,1.84,-,
107,Tuesday Jul 29,boxscore,CHC,@,MIL,L,3,9,,62-45,2,2.0,Priester,Rea,Ashby,2:51,N,40136,,--,
108,Wednesday Jul 30,boxscore,CHC,@,MIL,W,10,3,,63-45,2,1.0,Imanaga,Peralta,,2:40,D,42807,1.80,+,
109,Friday Aug 1,boxscore,CHC,,BAL,W,1,0,,64-45,2,1.0,Horton,Rogers,Palencia,1:49,D,40520,1.29,++,
110,Saturday Aug 2,boxscore,CHC,,BAL,L,3,4,,64-46,2,2.0,Wolfram,Thielbar,Akin,2:47,D,40781,1.31,-,
111,Sunday Aug 3,boxscore,CHC,,BAL,W-wo,5,3,,65-46,2,2.0,Palencia,Akin,,2:50,D,39430,1.24,+,
112,Monday Aug 4,boxscore,CHC,,CIN,L,2,3,,65-47,2,3.0,Barlow,Brasier,Pagán,2:33,N,37937,1.25,-,
113,Tuesday Aug 5,boxscore,CHC,,CIN,L,1,5,,65-48,2,4.0,Littell,Kittredge,,2:36,N,39797,1.27,--,
114,Wednesday Aug 6,boxscore,CHC,,CIN,W,6,1,,66-48,2,4.0,Horton,Abbott,,2:18,D,37648,1.34,+,
115,Friday Aug 8,boxscore,CHC,@,STL,L,0,5,,66-49,2,5.0,McGreevy,Boyd,,2:42,N,33453,1.20,-,
116,Saturday Aug 9,boxscore,CHC,@,STL,W,9,1,,67-49,2,5.0,Rea,Pallante,,3:02,N,40048,1.17,+,
117,Sunday Aug 10,boxscore,CHC,@,STL,L,2,3,,67-50,2,6.0,Gray,Imanaga,Romero,2:29,N,30540,1.07,-,
